Date,EURUSD,JPYUSD,JPYEUR
2013-10-01,1.3724011182785034,0.01015156228095293,0.007400000002235174
2013-11-01,1.359397530555725,0.009762764908373356,0.007180000189691782
2013-12-01,1.3810056447982788,0.009529800154268742,0.006899999920278788
2014-01-01,1.3558770418167114,0.009731601923704147,0.007180000189691782
2014-02-01,1.3707455396652222,0.009793359786272049,0.007139999885112047
2014-03-01,1.3752131462097168,0.009719211608171463,0.007069999817758799
2014-04-01,1.3813681602478027,0.009750009514391422,0.007060000207275152
2014-05-01,1.3634566068649292,0.009820000268518925,0.007199999876320362
2014-06-01,1.3644425868988037,0.009857752360403538,0.0072200000286102295
2014-07-01,1.3396027088165283,0.009723843075335026,0.007259999867528677
2014-08-01,1.313456416130066,0.00960448756814003,0.007309999782592058
2014-09-01,1.269083857536316,0.009141603484749794,0.007199999876320362
2014-10-01,1.2613362073898315,0.009156418964266777,0.007259999867528677
2014-11-01,1.2437965869903564,0.008415666408836842,0.006769999861717224
2014-12-01,1.2162047624588013,0.0083711426705122,0.00687999976798892
2015-01-01,1.1287955045700073,0.008514261804521084,0.007540000136941671
2015-02-01,1.119795799255371,0.0083600003272295,0.007470000069588423
2015-03-01,1.0830246210098267,0.008332430385053158,0.007689999882131815
2015-04-01,1.1114321947097778,0.008405480533838272,0.0075599998235702515
2015-05-01,1.0960345268249512,0.008076239377260208,0.007369999773800373
2015-06-01,1.122296690940857,0.008151952177286148,0.007259999867528677
2015-07-01,1.0939244031906128,0.008059901185333729,0.007369999773800373
2015-08-01,1.1214030981063843,0.00824477057904005,0.007350000087171793
2015-09-01,1.1255937814712524,0.008343067020177841,0.007410000078380108
2015-10-01,1.100897192955017,0.008290000259876251,0.007530000060796738
2015-11-01,1.0583018064498901,0.008141333237290382,0.007689999882131815
2015-12-01,1.093398094177246,0.008302200585603714,0.007590000052005053
2016-01-01,1.0825908184051514,0.008241306059062481,0.00761000020429492
2016-02-01,1.0923947095870972,0.008798169903457165,0.008050000295042992
2016-03-01,1.1334655284881592,0.008899489417672157,0.007849999703466892
2016-04-01,1.1448328495025635,0.00940291490405798,0.008209999650716782
2016-05-01,1.1148396730422974,0.009021932259202003,0.008089999668300152
2016-06-01,1.1128050088882446,0.009729708544909954,0.008740000426769257
2016-07-01,1.1168068647384644,0.00977211445569992,0.008750000037252903
2016-08-01,1.1153244972229004,0.009721196256577969,0.00872000027447939
2016-09-01,1.121956706047058,0.0098815206438303,0.00880999956279993
