Date,BTC_price
02-08-2013,95.85
03-08-2013,95.55
04-08-2013,96.38
05-08-2013,97.81
06-08-2013,97.69
07-08-2013,97.09
08-08-2013,94.27
09-08-2013,92.27
10-08-2013,93.51
11-08-2013,94.09
12-08-2013,95.35
13-08-2013,98.15
14-08-2013,99.19
15-08-2013,98.08
16-08-2013,98.25
17-08-2013,99.71
18-08-2013,99.3
19-08-2013,102.85
20-08-2013,104.87
21-08-2013,110.43
22-08-2013,109.12
23-08-2013,107.65
24-08-2013,109.15
25-08-2013,113.12
26-08-2013,111.9
27-08-2013,117.75
28-08-2013,117.91
29-08-2013,118.5
30-08-2013,124.86
31-08-2013,128.0
01-09-2013,130.66
02-09-2013,130.15
03-09-2013,129.18
04-09-2013,122.81
05-09-2013,122.5
06-09-2013,117.67
07-09-2013,119.93
08-09-2013,118.34
09-09-2013,121.68
10-09-2013,122.07
11-09-2013,127.55
12-09-2013,126.38
13-09-2013,127.71
14-09-2013,124.49
15-09-2013,125.36
16-09-2013,126.27
17-09-2013,126.92
18-09-2013,127.0
19-09-2013,124.18
20-09-2013,122.91
21-09-2013,123.39
22-09-2013,123.27
23-09-2013,122.63
24-09-2013,123.86
25-09-2013,123.25
26-09-2013,124.84
27-09-2013,126.95
28-09-2013,126.54
29-09-2013,127.01
30-09-2013,126.25
01-10-2013,127.33
02-10-2013,103.85
03-10-2013,117.63
04-10-2013,121.94
05-10-2013,121.2
06-10-2013,122.49
07-10-2013,123.5
08-10-2013,124.13
09-10-2013,125.9
10-10-2013,126.8
11-10-2013,127.38
12-10-2013,127.98
13-10-2013,132.82
14-10-2013,135.42
15-10-2013,142.76
16-10-2013,137.56
17-10-2013,143.94
18-10-2013,152.89
19-10-2013,166.0
20-10-2013,166.59
21-10-2013,180.13
22-10-2013,189.75
23-10-2013,203.96
24-10-2013,193.87
25-10-2013,186.6
26-10-2013,179.56
27-10-2013,194.0
28-10-2013,196.62
29-10-2013,204.69
30-10-2013,197.54
31-10-2013,203.54
01-11-2013,202.15
02-11-2013,204.86
03-11-2013,210.0
04-11-2013,226.83
05-11-2013,242.9
06-11-2013,263.24
07-11-2013,291.0
08-11-2013,334.0
09-11-2013,341.24
10-11-2013,323.0
11-11-2013,343.91
12-11-2013,354.96
13-11-2013,393.5
14-11-2013,416.95
15-11-2013,412.0
16-11-2013,434.53
17-11-2013,477.38
18-11-2013,669.01
19-11-2013,536.01
20-11-2013,599.0
21-11-2013,720.0
22-11-2013,795.0
23-11-2013,829.15
24-11-2013,800.05
25-11-2013,817.88
26-11-2013,916.3
27-11-2013,963.98
28-11-2013,1012.98
29-11-2013,1131.99
30-11-2013,1119.52
01-12-2013,955.0
02-12-2013,1047.47
03-12-2013,1055.0
04-12-2013,1132.01
05-12-2013,1023.87
06-12-2013,814.91
07-12-2013,693.3
08-12-2013,787.0
09-12-2013,899.9
10-12-2013,979.23
11-12-2013,879.04
12-12-2013,871.22
13-12-2013,885.98
14-12-2013,850.78
15-12-2013,862.0
16-12-2013,691.0
17-12-2013,673.62
18-12-2013,520.0
19-12-2013,685.0
20-12-2013,610.0
21-12-2013,595.03
22-12-2013,612.66
23-12-2013,654.76
24-12-2013,652.99
25-12-2013,679.01
26-12-2013,747.0
27-12-2013,721.08
28-12-2013,715.0
29-12-2013,728.0
30-12-2013,736.51
31-12-2013,732.0
01-01-2014,754.9
02-01-2014,784.19
03-01-2014,809.4
04-01-2014,828.79
05-01-2014,905.0
06-01-2014,919.24
07-01-2014,785.0
08-01-2014,823.45
09-01-2014,824.76
10-01-2014,852.61
11-01-2014,896.59
12-01-2014,844.05
13-01-2014,823.0
14-01-2014,815.99
15-01-2014,841.14
16-01-2014,814.4
17-01-2014,797.2
18-01-2014,810.0
19-01-2014,842.07
20-01-2014,826.02
21-01-2014,824.89
22-01-2014,819.2
23-01-2014,812.0
24-01-2014,780.0
25-01-2014,806.8
26-01-2014,814.75
27-01-2014,751.95
28-01-2014,788.0
29-01-2014,794.21
30-01-2014,799.99
31-01-2014,803.0
01-02-2014,813.23
02-02-2014,814.99
03-02-2014,808.5
04-02-2014,802.99
05-02-2014,782.33
06-02-2014,763.99
07-02-2014,705.01
08-02-2014,680.49
09-02-2014,687.37
10-02-2014,687.81
11-02-2014,675.1
12-02-2014,651.99
13-02-2014,604.11
14-02-2014,669.0
15-02-2014,655.83
16-02-2014,621.0
17-02-2014,633.66
18-02-2014,627.7
19-02-2014,623.01
20-02-2014,561.86
21-02-2014,581.35
22-02-2014,610.88
23-02-2014,610.09
24-02-2014,535.49
25-02-2014,535.0
26-02-2014,585.24
27-02-2014,583.0
28-02-2014,551.89
01-03-2014,567.48
02-03-2014,566.24
03-03-2014,677.69
04-03-2014,673.0
05-03-2014,669.99
06-03-2014,669.57
07-03-2014,632.79
08-03-2014,620.0
09-03-2014,640.0
10-03-2014,629.39
11-03-2014,632.1
12-03-2014,634.95
13-03-2014,641.01
14-03-2014,630.42
15-03-2014,637.24
16-03-2014,634.99
17-03-2014,621.11
18-03-2014,612.0
19-03-2014,611.2
20-03-2014,587.98
21-03-2014,570.0
22-03-2014,565.31
23-03-2014,561.0
24-03-2014,585.99
25-03-2014,583.77
26-03-2014,581.49
27-03-2014,475.0
28-03-2014,502.01
29-03-2014,491.99
30-03-2014,460.0
31-03-2014,454.83
01-04-2014,478.98
02-04-2014,439.0
03-04-2014,451.03
04-04-2014,452.2
05-04-2014,464.8
06-04-2014,456.27
07-04-2014,447.11
08-04-2014,453.57
09-04-2014,441.69
10-04-2014,363.12
11-04-2014,423.0
12-04-2014,423.42
13-04-2014,416.3
14-04-2014,458.5
15-04-2014,521.0
16-04-2014,530.0
17-04-2014,500.09
18-04-2014,483.11
19-04-2014,503.8
20-04-2014,500.0
21-04-2014,496.74
22-04-2014,490.0
23-04-2014,492.0
24-04-2014,502.2
25-04-2014,466.52
26-04-2014,459.0
27-04-2014,430.0
28-04-2014,442.9
29-04-2014,448.0
30-04-2014,448.85
01-05-2014,460.97
02-05-2014,454.5
03-05-2014,439.0
04-05-2014,438.04
05-05-2014,433.0
06-05-2014,428.01
07-05-2014,440.0
08-05-2014,437.69
09-05-2014,452.37
10-05-2014,455.39
11-05-2014,440.0
12-05-2014,442.5
13-05-2014,439.12
14-05-2014,446.0
15-05-2014,446.0
16-05-2014,447.31
17-05-2014,449.06
18-05-2014,446.91
19-05-2014,448.34
20-05-2014,489.0
21-05-2014,493.98
22-05-2014,529.99
23-05-2014,523.77
24-05-2014,528.44
25-05-2014,573.9
26-05-2014,581.88
27-05-2014,572.7
28-05-2014,580.66
29-05-2014,572.37
30-05-2014,621.0
31-05-2014,627.8
01-06-2014,630.99
02-06-2014,661.22
03-06-2014,670.14
04-06-2014,640.59
05-06-2014,661.48
06-06-2014,647.16
07-06-2014,657.13
08-06-2014,658.0
09-06-2014,648.83
10-06-2014,648.55
11-06-2014,620.5
12-06-2014,569.1
13-06-2014,592.0
14-06-2014,566.58
