Date,BTC_Supply,BTC_USD,BalanceSheet_FED,BalanceSheet_global,Bitcoin_Wikipedia_Search,Dollar_Index,GLD,HashRate,M2_Liquidity,Miners_Revenue_USD,Mining_Difficulty,Nr_Addresses,Nr_Transactions,OIL_USD,QQQ,TLT,Ten_YR_USA,USD_OnChain_Volume,VIX
2014-03-28,12574700.0,482.61,4226971.0,14350.0136,18911.14285714286,80.18000030517578,124.55999755859376,45547.3073493881,11257.6,3095041.54189616,5006860589.2054,148715.85714285713,67780.42857142857,101.66999816894533,80.09685516357422,84.41559600830078,2.711999893188477,64823461.93909556,14.40999984741211
2014-04-04,12606250.0,444.36,4236441.0,14374.9697,17018.571428571428,80.41999816894531,125.56999969482422,50027.3703673607,11304.2,2556440.8792225798,5006860589.2054,144814.85714285713,62704.28571428572,101.13999938964844,79.47119903564453,83.92861938476562,2.7260000705718994,61895418.17001983,13.960000038146973
2014-04-11,12633550.0,435.14,4244188.0,14398.3544,12352.142857142857,79.44999694824219,126.93000030517578,45327.7718585558,11381.4,2237140.343193293,6119726089.12815,148387.2857142857,62624.0,103.73999786376952,77.39170837402344,85.68521118164062,2.61899995803833,68320722.37636258,17.030000686645508
2014-04-18,12663825.0,485.52,4283967.0,14434.466,11583.857142857143,79.83000183105469,124.75,54119.5433709834,11405.1,2617625.52918994,6978842649.59238,142018.85714285713,61816.57142857143,104.3000030517578,79.31477355957031,85.15901184082031,2.720999956130981,59286969.54354304,13.359999656677246
2014-04-25,12692825.0,464.49,4296339.0,14439.0499,9623.857142857143,79.7699966430664,125.43000030517578,56894.9045694954,11344.5,2691922.0749622015,6978842649.59238,139290.57142857142,65429.71428571428,100.5999984741211,79.30558776855469,86.14949798583984,2.6659998893737797,57321715.342724815,14.0600004196167
2014-05-02,12721250.0,453.67,4296049.0,14435.5116,10580.57142857143,79.5199966430664,125.05999755859376,67613.3368956986,11220.6,2389150.505291076,8000872135.96816,135024.2857142857,59669.142857142855,99.76000213623048,80.50172424316406,87.4290542602539,2.5910000801086426,45065104.77293881,12.90999984741211
2014-05-09,12748950.0,445.45,4303143.0,14462.4188,8859.142857142857,79.9000015258789,124.0999984741211,66022.4348510939,11274.3,2097197.6680576187,8000872135.96816,131684.2857142857,65138.857142857145,99.98999786376952,79.86685943603516,86.28877258300781,2.622999906539917,37947867.22815683,12.920000076293944
2014-05-16,12777925.0,453.63,4336649.0,14495.031,8124.571428571428,80.04000091552734,124.5,80099.2395603588,11275.3,2202104.097215087,8853416309.1278,132346.57142857142,66130.71428571429,102.0199966430664,80.70417022705078,88.07290649414062,2.5179998874664307,38912987.74815101,12.4399995803833
2014-05-23,12807975.0,518.09,4327560.0,14528.1813,8346.42857142857,80.38999938964844,124.51000213623048,69536.7024754763,11268.0,2634198.876995347,8853416309.1278,140077.57142857142,64870.71428571428,104.3499984741211,82.70082092285156,87.42133331298828,2.5360000133514404,51853937.86877162,11.359999656677246
2014-05-30,12835125.0,612.35,4322654.0,14587.5874,8525.0,80.37000274658203,120.43000030517578,84720.3367627328,11240.7,2513108.165498416,10455720138.4848,141721.42857142858,64113.71428571428,102.70999908447266,84.01660919189453,88.50728607177734,2.4570000171661377,87158371.78978252,11.399999618530272
