Date,BalanceSheet_FED,BalanceSheet_global,Bitcoin_Wikipedia_Search,BTC_USD,USD_OnChain_Volume,GDP_usa,HashRate,M2_Liquidity,Dollar_Index,QQQ,GLD,TLT,Ten_YR_USA,VIX,OIL_USD,Miners_Revenue_USD,Mining_Difficulty,Nr_Transactions,Nr_Addresses,BTC_Supply
2019-02-08,,,3823.0,3660.03,552614639.038452,,47114891.2600487,,96.63999938964844,162.62771606445312,124.20999908447266,107.27184295654295,2.631999969482422,15.720000267028809,52.720001220703125,7184754.2731582,5814661935892.0,335280.0,516886.0,17527737.5
2019-02-09,,,2896.0,3652.26,290308690.903251,,43357261.8957503,,,,,,,,,6845104.34819661,5814661935892.0,310892.0,422178.0,17529612.5
2019-02-10,,,2765.0,3685.14,273943900.738583,,41018987.2961362,,,,,,,,,6454979.70124316,5894008795042.54,299609.0,380922.0,17531362.5
2019-02-11,,,3996.0,3611.34,512333681.418858,,43691361.6410373,14393.8,97.05999755859376,162.473388671875,123.5999984741211,106.85104370117188,2.6610000133514404,15.970000267028809,52.40999984741211,6693602.40799548,6061518831027.0,315725.0,463119.0,17533175.0
2019-02-12,,,4207.0,3617.41,494313528.417058,,38568926.138295,,96.70999908447266,164.87576293945312,123.86000061035156,106.57921600341795,2.684000015258789,15.43000030517578,53.09999847412109,6031364.55755759,6061518831027.0,271573.0,486292.0,17534775.0
2019-02-13,4028431.0,17025.2556,4133.0,3605.87,679292514.995367,,46101919.5246807,,97.12999725341795,164.99151611328125,123.37000274658205,106.1759033203125,2.7079999446868896,15.649999618530272,53.900001525878906,6976103.87653069,6061518831027.0,352651.0,546276.0,17536687.5
2019-02-14,,,3657.0,3588.72,465606911.488956,,42486082.6992156,,96.9800033569336,165.194091796875,124.05999755859376,106.7808609008789,2.657000064849853,16.219999313354492,54.40999984741211,6566282.2719383,6061518831027.0,354483.0,473265.0,17538450.0
2019-02-15,,,3656.0,3593.49,475673471.435307,,38267606.4028396,,96.91999816894533,165.8887939453125,124.8000030517578,106.94747161865234,2.6659998893737797,14.90999984741211,55.59000015258789,5762323.41641078,6061518831027.0,296729.0,467228.0,17540037.5
2019-02-16,,,3337.0,3617.24,363956258.170098,,45197960.3183144,,,,,,,,,6898485.34101117,6061518831027.0,332137.0,452438.0,17541912.5
2019-02-17,,,4483.0,3670.92,237971659.056432,,47909837.9374133,,,,,,,,,7185045.4307252,6061518831027.0,327463.0,393160.0,17543900.0
2019-02-18,,,3930.0,3912.57,689163298.994228,,46704558.9955916,14393.7,,,,,,,,7556019.10851886,6061518831027.0,344274.0,508261.0,17545837.5
2019-02-19,,,4543.0,3924.24,719387605.250789,,47005878.731047,,96.5199966430664,166.21682739257812,126.6999969482422,107.21929168701172,2.6470000743865967,14.880000114440918,56.09000015258789,7748245.9382798,6061518831027.0,348242.0,538532.0,17547787.5
2019-02-20,3981420.0,17000.8942,4561.0,3974.05,696700438.735942,,39171565.6092058,,96.4499969482422,166.18789672851562,126.4800033569336,106.91236114501952,2.6540000438690186,14.020000457763672,56.91999816894531,6596656.21482153,6061518831027.0,314320.0,521878.0,17549412.5
2019-02-21,,,4546.0,3937.04,658222916.530834,,35857048.5191961,,96.61000061035156,165.58004760742188,125.0500030517578,105.95673370361328,2.687999963760376,14.460000038146973,56.959999084472656,6051778.48558182,6061518831027.0,297595.0,491327.0,17550900.0
2019-02-22,,,4551.0,3983.53,594309375.18449,,48813797.1437796,,96.51000213623048,166.80532836914062,125.5,106.5879898071289,2.6549999713897705,13.510000228881836,57.2599983215332,8096363.88186099,6061518831027.0,350306.0,542172.0,17552925.0
2019-02-23,,,3645.0,4149.09,489507893.012273,,43088722.1701264,,,,,,,,,7190247.7828969,6061518831027.0,328239.0,441275.0,17554712.5
2019-02-24,,,4077.0,3771.62,436413535.328223,,41298258.2978092,,,,,,,,,7119748.03220931,6064081790460.55,320446.0,433694.0,17556425.0
2019-02-25,,,4782.0,3845.51,788388101.207672,,43162133.913638,14373.7,96.41000366210938,167.41319274902344,125.37000274658205,106.27234649658205,2.6730000972747803,14.850000381469728,55.47999954223633,6913971.36597182,6071846049921.0,336634.0,502106.0,17558212.5
2019-02-26,,,4791.0,3817.88,592375975.327037,,48595129.7908791,,96.0,167.5867919921875,125.58000183105467,106.79840087890624,2.635999917984009,15.170000076293944,55.5,7878415.30725483,6071846049921.0,366568.0,532149.0,17560225.0
2019-02-27,3974590.0,17040.1292,4668.0,3830.72,573599563.168567,,42558467.7050556,,96.1500015258789,167.48069763183594,124.69000244140624,105.58844757080078,2.693000078201294,14.699999809265137,56.93999862670898,6801908.84662639,6071846049921.0,344560.0,519740.0,17561987.5
2019-02-28,,,5957.0,3823.37,936111689.337251,,45274965.6436762,,96.16000366210938,167.0948028564453,123.98999786376952,105.22901153564452,2.7109999656677246,14.779999732971191,57.220001220703125,7350871.43467336,6071846049921.0,367827.0,523892.0,17563862.5
2019-03-01,,,4410.0,3831.48,536410480.46392,,48896962.8951703,,96.52999877929688,168.25254821777344,121.87999725341795,104.25636291503906,2.755000114440918,13.56999969482422,55.79999923706055,7830758.1178926,6071846049921.0,354422.0,552623.0,17565887.5
2019-03-02,,,3976.0,3842.94,440970166.168073,,39841969.766435,,,,,,,,,6565214.95545392,6071846049921.0,335864.0,481021.0,17567537.5
2019-03-03,,,3875.0,3812.31,260455173.231934,,44067633.2265115,,,,,,,,,7016670.61795451,6071846049921.0,353683.0,420093.0,17569362.5
2019-03-04,,,4904.0,3731.28,510664925.146437,,41351135.2878909,14519.1,96.68000030517578,168.281494140625,121.55999755859376,105.073486328125,2.7219998836517334,14.630000114440918,56.59000015258789,6497311.76435429,6071846049921.0,304188.0,506186.0,17571075.0
2019-03-05,,,5043.0,3874.18,545495184.577438,,44973132.539385,,96.8499984741211,168.40692138671875,121.72000122070312,105.29313659667967,2.7219998836517334,14.739999771118164,56.560001373291016,7114388.35176686,6071846049921.0,285716.0,536821.0,17572937.5
2019-03-06,3969134.0,17047.0002,4965.0,3874.98,603814020.830587,,38634637.3492703,,96.87000274658205,167.4517822265625,121.61000061035156,105.67974853515624,2.691999912261963,15.739999771118164,56.220001220703125,6388631.33749861,6071846049921.0,277863.0,524992.0,17574537.5
2019-03-07,,,4670.0,3882.61,598136964.047837,,42860300.8093468,,97.66999816894533,165.39669799804688,121.51000213623048,106.3650360107422,2.635999917984009,16.59000015258789,56.65999984741211,7588198.87987363,6071846049921.0,282523.0,524085.0,17576312.5
2019-03-08,,,3770.0,3868.02,621749744.798023,,44067633.2265115,,97.37000274658205,165.14588928222656,122.83999633789062,106.81312561035156,2.625,16.049999237060547,56.06999969482422,7193574.07638771,6071846049921.0,285264.0,545571.0,17578137.5
