Date,BalanceSheet_global
02/17/82,1725.0777
02/24/82,1712.4788
03/03/82,1726.8601
03/10/82,1725.109
03/17/82,1725.6257
03/24/82,1729.8545
03/31/82,1738.8189
04/07/82,1742.2733
04/14/82,1739.079
04/21/82,1737.4074
04/28/82,1730.3522
05/05/82,1746.856
05/12/82,1754.0795
05/19/82,1745.9707
05/26/82,1755.6862
06/02/82,1765.7116
06/09/82,1762.9822
06/16/82,1756.4275
06/23/82,1761.6666
06/30/82,1768.9363
07/07/82,1770.2399
07/14/82,1769.2384
07/21/82,1772.9619
07/28/82,1788.2796
08/04/82,1790.7915
08/11/82,1793.1624
08/18/82,1792.2497
08/25/82,1803.4771
09/01/82,1810.108
09/08/82,1804.9653
09/15/82,1820.1505
09/22/82,1806.3159
09/29/82,1796.4633
10/06/82,1811.5876
10/13/82,1824.602
10/20/82,1824.1637
10/27/82,1834.1413
11/03/82,1838.2188
11/10/82,1821.1217
11/17/82,1818.0081
11/24/82,1829.4726
12/01/82,1831.0032
12/08/82,1838.8424
12/15/82,1844.3079
12/22/82,1846.1007
12/29/82,1833.4254
01/05/83,1848.234
01/12/83,1861.9405
01/19/83,1852.0884
01/26/83,1868.4559
02/02/83,1867.512
02/09/83,1860.7497
02/16/83,1848.5544
02/23/83,1865.0775
03/02/83,1882.3094
03/09/83,1862.9167
03/16/83,1876.687
03/23/83,1867.1367
03/30/83,1868.8176
04/06/83,1884.2024
04/13/83,1875.2659
04/20/83,1875.5347
04/27/83,1879.337
05/04/83,1886.4309
05/11/83,1889.4417
05/18/83,1886.8338
05/25/83,1887.1162
06/01/83,1909.657
06/08/83,1895.2147
06/15/83,1906.9873
06/22/83,1904.0069
06/29/83,1902.668
07/06/83,1930.2819
07/13/83,1920.1196
07/20/83,1927.0053
07/27/83,1936.4405
08/03/83,1932.134
08/10/83,1932.307
08/17/83,1927.3175
08/24/83,1939.1671
08/31/83,1942.9154
09/07/83,1941.4087
09/14/83,1935.8111
09/21/83,1946.7734
09/28/83,1937.3063
10/05/83,1966.041
10/12/83,1975.0591
10/19/83,1958.7847
10/26/83,1974.6441
11/02/83,1966.5443
11/09/83,1969.2
11/16/83,1977.0746
11/23/83,1985.6664
11/30/83,1975.7388
12/07/83,1983.4541
12/14/83,1983.4466
12/21/83,1981.4345
12/28/83,1978.9095
01/04/84,2013.1601
01/11/84,2009.9796
01/18/84,1997.9104
01/25/84,2011.8073
02/01/84,2019.6525
02/08/84,2012.0348
02/15/84,2023.4836
02/22/84,2020.3977
02/29/84,2029.493
03/07/84,2017.7035
03/14/84,2044.2532
03/21/84,2035.5768
03/28/84,2039.1161
04/04/84,2053.2995
04/11/84,2060.1067
04/18/84,2059.6204
04/25/84,2078.7444
05/02/84,2074.5907
05/09/84,2092.0276
05/16/84,2090.6717
05/23/84,2099.5718
05/30/84,2085.3176
