DATE,M2_Liquidity
2023-11-13,20665.6
2023-11-20,20716.7
2023-11-27,20706.7
2023-12-04,20806.5
2023-12-11,20800.9
2023-12-18,20873.1
2023-12-25,20899.2
2024-01-01,20881.0
2024-01-08,20908.9
2024-01-15,20894.3
2024-01-22,20764.4
2024-01-29,20709.5
2024-02-05,20836.8
2024-02-12,20706.1
2024-02-19,20715.6
2024-02-26,20703.1
2024-03-04,20867.8
2024-03-11,20916.9
2024-03-18,20996.0
2024-03-25,20951.6
2024-04-01,21122.6
2024-04-08,21107.5
2024-04-15,21111.3
2024-04-22,20848.7
2024-04-29,20767.5
2024-05-06,20856.2
2024-05-13,20811.3
2024-05-20,20842.5
2024-05-27,20792.2
2024-06-03,20949.1
2024-06-10,20979.1
2024-06-17,20997.2
2024-06-24,20905.5
2024-07-01,20947.5
