Date,BalanceSheet_FED
11/23/11,2821980
11/30/11,2814235
12/07/11,2820691
12/14/11,2902488
12/21/11,2916085
12/28/11,2926095
01/04/12,2917689
01/11/12,2899149
01/18/12,2919423
01/25/12,2919545
02/01/12,2924947
02/08/12,2928275
02/15/12,2937893
02/22/12,2932813
02/29/12,2925722
03/07/12,2884747
03/14/12,2893560
03/21/12,2892646
03/28/12,2878137
04/04/12,2865478
04/11/12,2867200
04/18/12,2875470
04/25/12,2866561
05/02/12,2864280
05/09/12,2864150
05/16/12,2850984
05/23/12,2859495
05/30/12,2842654
06/06/12,2852018
06/13/12,2869071
06/20/12,2870846
06/27/12,2863547
07/04/12,2865858
07/11/12,2866279
07/18/12,2855807
07/25/12,2846757
08/01/12,2851118
08/08/12,2856181
08/15/12,2833317
08/22/12,2825661
08/29/12,2812806
09/05/12,2822169
09/12/12,2823448
09/19/12,2821574
09/26/12,2804457
10/03/12,2808512
10/10/12,2811623
10/17/12,2846920
10/24/12,2840964
10/31/12,2823137
11/07/12,2830791
11/14/12,2877244
11/21/12,2871161
11/28/12,2851362
12/05/12,2859807
12/12/12,2917260
12/19/12,2920231
12/26/12,2907300
01/02/13,2917189
01/09/13,2928728
01/16/13,2963812
01/23/13,3011697
01/30/13,3008704
02/06/13,3014975
02/13/13,3074225
02/20/13,3095150
02/27/13,3090600
03/06/13,3108805
03/13/13,3165396
03/20/13,3206888
03/27/13,3202256
04/03/13,3215432
04/10/13,3227762
04/17/13,3295109
04/24/13,3318649
05/01/13,3317194
05/08/13,3324615
05/15/13,3354269
05/22/13,3398713
05/29/13,3385128
06/05/13,3400183
06/12/13,3410842
06/19/13,3470530
06/26/13,3478672
07/03/13,3492742
07/10/13,3504095
07/17/13,3537861
07/24/13,3574574
07/31/13,3571797
08/07/13,3585359
08/14/13,3646323
08/21/13,3645668
08/28/13,3644456
09/04/13,3654182
09/11/13,3662035
09/18/13,3722192
09/25/13,3734018
10/02/13,3747387
10/09/13,3758663
10/16/13,3813599
10/23/13,3839033
10/30/13,3843396
11/06/13,3851623
11/13/13,3907424
11/20/13,3906620
11/27/13,3925876
12/04/13,3932626
12/11/13,3993955
12/18/13,4008062
12/25/13,4032575
01/01/14,4023640
01/08/14,4028185
01/15/14,4071528
01/22/14,4097914
01/29/14,4102138
02/05/14,4109285
02/12/14,4119474
02/19/14,4149224
02/26/14,4159972
03/05/14,4171762
03/12/14,4181361
03/19/14,4222081
03/26/14,4226971
04/02/14,4236441
04/09/14,4244188
04/16/14,4283967
04/23/14,4296339
04/30/14,4296049
05/07/14,4303143
05/14/14,4336649
05/21/14,4327560
05/28/14,4322654
06/04/14,4330917
06/11/14,4340904
06/18/14,4368168
06/25/14,4368348
07/02/14,4377031
07/09/14,4383401
07/16/14,4398201
07/23/14,4410746
07/30/14,4406637
08/06/14,4410111
08/13/14,4431923
08/20/14,4412924
08/27/14,4413736
09/03/14,4415587
09/10/14,4421408
09/17/14,4449588
09/24/14,4459050
10/01/14,4450260
10/08/14,4455403
10/15/14,4474360
10/22/14,4481616
10/29/14,4486754
11/05/14,4486585
11/12/14,4488895
11/19/14,4492759
11/26/14,4485931
12/03/14,4486190
12/10/14,4488865
12/17/14,4502247
12/24/14,4509462
12/31/14,4497660
01/07/15,4499524
01/14/15,4516077
01/21/15,4512936
01/28/15,4500064
02/04/15,4500348
02/11/15,4501685
02/18/15,4496851
02/25/15,4486725
03/04/15,4487583
03/11/15,4489279
03/18/15,4495888
03/25/15,4480603
04/01/15,4481799
04/08/15,4483419
04/15/15,4485366
04/22/15,4489695
04/29/15,4471499
05/06/15,4472703
05/13/15,4501188
05/20/15,4480384
05/27/15,4463981
06/03/15,4465360
06/10/15,4468005
06/17/15,4487817
06/24/15,4495055
07/01/15,4479130
07/08/15,4481289
07/15/15,4493605
07/22/15,4500503
07/29/15,4485480
08/05/15,4486329
08/12/15,4489250
08/19/15,4487208
08/26/15,4475105
09/02/15,4475886
09/09/15,4478213
09/16/15,4487809
09/23/15,4497484
09/30/15,4484111
10/07/15,4486185
10/14/15,4504704
10/21/15,4501372
10/28/15,4489339
11/04/15,4489702
11/11/15,4492012
11/18/15,4486721
11/25/15,4477088
12/02/15,4478069
12/09/15,4480436
12/16/15,4489593
12/23/15,4496523
12/30/15,4486587
01/06/16,4486606
01/13/16,4501695
01/20/16,4488840
01/27/16,4482349
02/03/16,4483495
02/10/16,4486278
02/17/16,4483629
02/24/16,4489796
03/02/16,4478485
03/09/16,4481083
03/16/16,4486333
03/23/16,4492857
03/30/16,4482840
04/06/16,4484069
04/13/16,4499729
04/20/16,4490131
04/27/16,4474665
05/04/16,4477270
05/11/16,4478411
05/18/16,4473741
05/25/16,4461111
06/01/16,4461393
06/08/16,4463542
06/15/16,4472817
06/22/16,4482009
06/29/16,4466482
07/06/16,4470605
07/13/16,4472202
07/20/16,4480973
07/27/16,4464498
08/03/16,4466793
08/10/16,4468929
08/17/16,4466476
08/24/16,4473840
08/31/16,4457907
09/07/16,4459394
09/14/16,4481635
09/21/16,4473032
09/28/16,4452002
10/05/16,4459407
10/12/16,4457698
10/19/16,4467382
10/26/16,4454326
11/02/16,4453087
11/09/16,4455087
11/16/16,4453633
11/23/16,4465782
11/30/16,4446307
12/07/16,4448618
12/14/16,4470973
12/21/16,4469089
12/28/16,4451451
01/04/17,4453101
01/11/17,4452509
01/18/17,4460758
01/25/17,4452838
02/01/17,4453881
02/08/17,4456236
02/15/17,4454676
02/22/17,4468702
03/01/17,4458018
03/08/17,4459840
03/15/17,4469577
03/22/17,4478236
03/29/17,4469618
04/05/17,4474634
04/12/17,4484492
04/19/17,4479270
04/26/17,4470142
05/03/17,4471246
05/10/17,4473459
05/17/17,4467108
05/24/17,4470852
05/31/17,4459914
06/07/17,4462443
06/14/17,4476269
06/21/17,4474257
06/28/17,4463347
07/05/17,4467272
07/12/17,4466702
07/19/17,4476903
07/26/17,4465284
08/02/17,4466846
08/09/17,4469083
08/16/17,4462871
08/23/17,4463837
08/30/17,4452360
09/06/17,4453474
09/13/17,4471174
09/20/17,4458576
09/27/17,4455661
10/04/17,4460422
10/11/17,4459415
10/18/17,4469723
10/25/17,4461117
11/01/17,4455887
11/08/17,4458552
11/15/17,4448289
11/22/17,4450615
11/29/17,4438592
12/06/17,4437148
12/13/17,4452726
12/20/17,4447470
12/27/17,4448680
01/03/18,4443718
01/10/18,4446062
01/17/18,4439145
01/24/18,4441317
01/31/18,4419225
02/07/18,4420745
02/14/18,4434863
02/21/18,4411660
02/28/18,4393401
03/07/18,4396097
03/14/18,4407258
03/21/18,4401222
03/28/18,4392198
04/04/18,4386104
04/11/18,4383684
04/18/18,4385903
04/25/18,4372886
05/02/18,4356129
05/09/18,4358207
05/16/18,4337609
05/23/18,4337301
05/30/18,4327519
06/06/18,4319191
06/13/18,4324906
06/20/18,4315896
06/27/18,4305491
07/04/18,4289764
07/11/18,4291201
07/18/18,4291615
07/25/18,4277681
08/01/18,4255653
08/08/18,4258030
08/15/18,4228924
08/22/18,4228818
08/29/18,4218914
09/05/18,4208496
09/12/18,4210812
09/19/18,4208059
09/26/18,4192909
10/03/18,4174704
10/10/18,4176906
10/17/18,4175446
10/24/18,4173070
10/31/18,4139731
11/07/18,4141936
11/14/18,4145892
11/21/18,4106198
11/28/18,4097170
12/05/18,4086044
12/12/18,4088314
12/19/18,4084274
12/26/18,4075636
01/02/19,4058378
01/09/19,4056563
01/16/19,4050044
01/23/19,4047052
01/30/19,4039678
02/06/19,4026350
02/13/19,4028431
02/20/19,3981420
02/27/19,3974590
03/06/19,3969134
03/13/19,3971559
03/20/19,3962748
03/27/19,3955617
04/03/19,3935509
04/10/19,3936784
04/17/19,3931827
04/24/19,3928273
05/01/19,3889691
05/08/19,3892216
05/15/19,3864749
05/22/19,3860435
05/29/19,3851444
