Date,10yr-2y_euro-area,10yr-2y_usa,BalanceSheet_euro-area,BalanceSheet_global,BalanceSheet_japan,BalanceSheet_usa,BTC_price,GDP_japan,GDP_usa,GDP_euro-area,Breakeven_inflation_usa,CPI_euro-area,CPI_japan,CPI_usa,PMI_euro-area,PMI_japan,PMI_usa,EURUSD,JPYUSD,JPYEUR,SPY,QQQ,EXSA,JPXN
2011-10-31,1.98,1.92,2333373.0,12489.9637,1329858.0,2845685.0,,500340.6,15842.259,2828296.9,2.09,3.0,-0.2,-0.206268263335836,47.1,50.6,,1.4140071868896484,0.0132030630484223,0.0093299997970461,99.18238830566406,51.52436065673828,17.35987091064453,32.0458984375
2011-11-30,2.329,1.83,2419548.0,12451.6443,1432056.0,2814235.0,,,,,2.05,3.0,-0.5,-0.084356133044206,46.4,49.1,,1.3324095010757446,0.0128270909190177,0.009630000218749,98.77932739257812,50.1373291015625,17.106037139892578,32.0458984375
2011-12-31,2.239,1.64,2735628.0,12598.1433,1430219.0,2926095.0,4.58,,,,1.96,2.8,-0.2,-0.2466516377138169,46.9,50.2,,1.2956053018569946,0.0128768077120184,0.0099400002509355,99.18238830566406,49.639434814453125,17.465648651123047,30.583158493041992
2012-01-31,2.216,1.61,2682576.0,12574.7754,1369064.0,2919545.0,5.3,507401.8,16068.805,2841166.4,2.11,2.7,0.1,0.440019142826751,48.8,50.7,,1.3139568567276,0.013095861300826,0.0099600004032254,104.44011688232422,54.02424621582031,18.19895362854004,32.67980194091797
2012-02-29,2.218,1.68,2692598.0,12696.5825,1442443.0,2925722.0,4.99,,,,2.26,2.7,0.3,0.4402973551276311,49.0,50.5,,1.3477997779846191,0.0124254468828439,0.0092200003564357,108.973388671875,57.48720932006836,18.953428268432617,34.45344161987305
2012-03-31,2.207,1.90,2964427.0,12630.4401,1394569.0,2878137.0,4.9,,,,2.32,2.7,0.5,0.7594558623930859,46.0,51.1,,1.334507703781128,0.0120685491710901,0.0090500004589557,111.98760986328124,60.28974151611328,18.741899490356445,34.878787994384766
2012-04-30,2.153,1.68,2962103.0,12691.2989,1412065.0,2866561.0,5.0,500183.9,16207.115,2841811.6,2.25,2.6,0.4,0.302102950408034,45.9,50.7,,1.3241524696350098,0.0124455513432621,0.0093999998643994,111.72747802734376,59.685794830322266,18.45279884338379,33.61879348754883
2012-05-31,1.718,1.32,2980310.0,12726.408,1428007.0,2842654.0,5.17,,,,2.09,2.4,0.2,-0.117347936632105,45.1,50.7,,1.237470626831055,0.0126611124724149,0.0102300001308321,105.01763153076172,55.48382568359375,17.373977661132812,30.52095413208008
2012-06-30,2.047,1.34,3102227.0,12740.0964,1436265.0,2863547.0,6.61,,,,2.13,2.4,-0.2,-0.146639688445049,45.1,49.9,54.0,1.266496181488037,0.0125297587364912,0.0098900003358721,108.716064453125,57.36130142211914,17.987428665161133,32.222354888916016
2012-07-31,1.894,1.28,3094144.0,12844.8903,1454954.0,2846757.0,9.28,497524.9,16319.541,2859343.7,2.20,2.4,-0.4,-0.162978586182561,44.0,47.9,52.5,1.2259409427642822,0.0128039335831999,0.0104400003328919,110.57209777832033,58.066627502441406,18.69959259033203,31.49727439880371
2012-08-31,1.9,1.35,3084769.0,12838.7775,1499672.0,2812806.0,10.16,,,,2.25,2.6,-0.4,0.556515818143709,45.1,47.7,51.4,1.2510946989059448,0.012733987532556,0.0101699996739625,113.34224700927734,61.077518463134766,19.03804397583008,31.464879989624023
2012-09-30,1.869,1.42,3082432.0,12844.8964,1499208.0,2804457.0,12.22,,,,2.42,2.6,-0.3,0.4462212267611311,46.1,48.0,51.5,1.284505009651184,0.0128267621621489,0.0099799996241927,115.59844970703124,61.44490051269531,19.11560440063477,31.829429626464844
2012-10-31,1.864,1.42,3046543.0,12913.1974,1537316.0,2823137.0,11.0,497347.1,16420.419,2853065.5,2.50,2.5,-0.4,-0.0388925140553232,45.4,46.9,51.1,1.2962603569030762,0.0125495707616209,0.0096800001338124,114.1006317138672,58.36702346801758,19.270727157592773,31.35955810546875
2012-11-30,1.759,1.37,3033294.0,13024.0803,1563579.0,2851362.0,12.43,,,,2.41,2.2,-0.2,-0.4738086694881879,46.2,46.5,51.0,1.2973533868789673,0.0121727064251899,0.0093799997121095,114.74639129638672,59.13087844848633,19.700857162475582,32.809669494628906
2012-12-31,1.736,1.53,3018198.0,13195.8615,1583627.0,2907300.0,13.24,,,,2.45,2.2,-0.1,-0.269306449020735,46.1,45.0,52.8,1.3227688074111938,0.0116333179175853,0.0087900003418326,114.95624542236328,58.52880096435547,19.95469093322754,34.389400482177734
2013-01-31,1.705,1.75,2928781.0,13279.0878,1597903.0,3008704.0,20.46,502877.5,16648.189,2856131.3,2.59,2.0,-0.3,0.295730419292604,47.9,47.7,54.0,1.3568336963653564,0.0109864752739667,0.0080899996683001,121.69794464111328,60.42713165283203,20.52583312988281,35.585243225097656
2013-02-28,1.778,1.64,2748823.0,13275.6756,1635325.0,3090600.0,33.53,,,,2.53,1.9,-0.7,0.819002952926876,47.9,48.5,55.8,1.3150973320007324,0.0108338836580514,0.0082299998030066,123.25067138671876,60.63494873046875,20.72325897216797,36.49559020996094
2013-03-31,1.693,.,2648126.0,13367.4178,1648127.0,3202256.0,96.15,,,,.,1.7,-0.9,0.261450858437495,46.8,50.4,54.3,1.2807868719100952,0.0106067033484578,0.00827999971807,127.36420440673828,62.32478713989258,20.920692443847656,38.34907150268555
2013-04-30,1.507,1.48,2611252.0,13333.5585,1746913.0,3318649.0,139.88,507534.8,16728.687,2877547.6,2.34,1.2,-0.7,-0.103963947708716,46.7,51.1,54.6,1.3095861673355105,0.0102182626724243,0.0077999997884035,130.38848876953125,64.05409240722656,21.44927024841309,41.41635513305664
2013-05-31,1.715,1.86,2549449.0,13513.4983,1842861.0,3385128.0,127.91,,,,2.21,1.4,-0.3,0.178040777358723,48.3,51.5,52.1,1.3043931722640991,0.0098911970853805,0.0075799999758601,133.46693420410156,66.34558868408203,21.94643783569336,38.58690643310547
2013-06-30,1.838,2.16,2430423.0,13553.2337,1870684.0,3478672.0,89.53,,,,1.99,1.6,0.2,0.2399708085599499,48.8,52.3,52.3,1.3013039827346802,0.0100623872131109,0.0077300001867115,130.99276733398438,64.55223083496094,20.469139099121094,39.530059814453125
2013-07-31,1.77,2.29,2396181.0,13585.0288,1967581.0,3571797.0,98.28,512879.7,16953.838,2888419.9,2.22,1.6,0.7,0.0393997533233011,50.3,50.7,53.7,1.3264886140823364,0.0102024162188172,0.0076899998821318,138.49102783203125,68.8451919555664,21.896774291992188,39.367488861083984
2013-08-31,1.901,2.39,2360639.0,13698.879,2056918.0,3644456.0,128.0,,,,2.10,1.3,0.9,0.12029315570472,51.4,52.2,53.1,1.3224014043807983,0.0101884864270687,0.0076999999582767,134.3373260498047,68.5726089477539,21.774282455444336,38.7326545715332
2013-09-30,1.836,2.31,2338044.0,13805.6341,2088625.0,3734018.0,126.25,,,,2.19,1.1,1.1,0.1163004485263469,51.1,52.5,52.8,1.349545955657959,0.0102221267297863,0.0075699998997151,137.91641235351562,71.67092895507812,22.55965614318848,42.13762664794922
2013-10-31,1.803,2.26,2318744.0,13954.4829,2155142.0,3843396.0,203.54,512592.2,17192.019,2899874.0,2.17,0.7,1.1,-0.257528325980464,51.3,54.2,51.8,1.3724011182785034,0.0101515622809529,0.0074000000022351,145.00621032714844,75.44949340820312,23.700931549072266,42.48390197753906
2013-11-30,1.844,2.47,2290956.0,14015.6996,2240888.0,3925876.0,1119.52,,,,2.15,0.9,1.5,-0.204242419052338,51.6,55.1,54.7,1.359397530555725,0.0097627649083733,0.0071800001896917,149.3038787841797,78.1288070678711,23.91924476623535,43.03628921508789
2013-12-31,1.993,2.66,2285399.0,14119.3392,2241897.0,4032575.0,732.0,,,,2.24,0.8,1.6,-0.008581149788259,52.7,55.2,55.0,1.3810056447982788,0.0095298001542687,0.0068999999202787,152.34768676757812,80.16105651855469,23.94834327697754,43.42377471923828
