Date,BTC_USD,Mining_Difficulty,M2_Liquidity,EUR_USD,JPY_USD,JPY_EUR,SPY,QQQ,EXSA,JPXN,IWDA,GLD,SLV,TLT,BND,BTC_Supply
2014-02-04,926.64,2193847870.0,,1.3525028228759766,0.00988709,0.00731,145.46176147460938,77.62732696533203,23.376296997070312,39.88615417480469,27.57999992370605,120.98999786376952,18.75,83.27944946289062,61.07030106,12354900.0
2014-02-05,904.52,2621404453.0,,1.3515887260437012,0.009833905,0.00728,145.27931213378906,77.42617035,23.376296997070312,40.03566360473633,27.50499916,121.29000091552734,19.06999969482422,82.50952148,60.94257736206055,12359100.0
2014-02-06,828.87,2621404453.0,,1.3535096645355225,0.009855518,0.00728,147.19509887695312,78.41354370117188,23.7639389038086,40.42604446411133,27.780000686645508,121.23999786376952,19.170000076293945,82.15523529052734,60.91999435424805,12363650.0
2014-02-07,695.65,2621404453.0,,1.3592127561569214,0.009800174,0.00721,149.01966857910156,79.81231689453125,23.91022682189941,41.01578140258789,28.020000457763672,122.16999816894533,19.270000457763672,82.22460174560547,60.99517440795898,12367525.0
2014-02-08,648.78,2621404453.0,,,,,,,,,,,,,,12372075.0
2014-02-09,659.57,2621404453.0,,,,,,,,,,,,,,12375525.0
2014-02-10,582.63,2621404453.0,11138.3,1.361933946609497,0.009753814,0.00716,149.2934112548828,80.26949310302734,24.005311965942383,40.77490997314453,28.06999969482422,122.91999816894533,19.290000915527344,82.45558929,61.03274917602539,12379425.0
2014-02-11,578.96,2621404453.0,,1.364610195159912,0.009791154,0.00717,150.92718505859375,81.18367767333984,24.26131057739257,41.35633850097656,28.350000381469727,124.36000061035156,19.450000762939453,81.97824096679688,60.90496063232422,12383525.0
2014-02-12,531.13,2621404453.0,,1.363902926445007,0.009754195,0.00715,151.00189208984375,81.33911895751953,24.407594680786133,41.45601272583008,28.59000015258789,124.43000030517578,19.43000030517578,81.55474090576172,60.79973220825195,12387975.0
2014-02-13,451.44,2621404453.0,,1.3590095043182373,0.009759049,0.00718,151.78147888183594,81.94246673583984,24.37834358215332,40.79982758,28.48500061035156,125.48999786376952,19.739999771118164,82.01669311523438,60.95005035400391,12392425.0
2014-02-14,427.68,2621404453.0,,1.3678767681121826,0.009785884,0.00715,152.61912536621094,82.10706329345703,24.524620056152344,40.79152297973633,28.614999771118164,127.1500015258789,20.64999961853028,82.06288146972656,60.927528381347656,12397200.0
