Date,USD_OnChain_Volume,Nr_Transactions,Nr_Addresses,BTC_PageViews,Crypto_PageViews
2011-08-06,1167463.862,6834.0,17405.0,,
2011-08-07,1082531.727,6710.0,17704.0,,
2011-08-08,1615819.076,7267.0,18340.0,,
2011-08-09,683817.0643,9219.0,20710.0,,
2011-08-10,721037.5463,8335.0,16663.0,,
2011-08-11,643738.3452,7596.0,15400.0,,
2011-08-12,585380.2771,7165.0,14112.0,,
2011-08-13,,7398.0,16697.0,,
2011-08-14,,7471.0,18601.0,,
2011-08-15,,8379.0,16081.0,,
2011-08-16,,9640.0,17699.0,,
2011-08-17,,7722.0,17089.0,,
2011-08-18,,7415.0,18093.0,,
2011-08-19,,7614.0,19350.0,,
2011-08-20,,7191.0,18706.0,,
2011-08-21,,7667.0,20093.0,,
2011-08-22,,7815.0,22198.0,,
2011-08-23,,7277.0,19780.0,,
2011-08-24,,7367.0,19095.0,,
2011-08-25,,7241.0,19879.0,,
2011-08-26,,7421.0,17687.0,,
2011-08-27,11243506.2,6361.0,16982.0,,
2011-08-28,356899.1437,5589.0,16263.0,,
2011-08-29,460437.6664,8094.0,16529.0,,
2011-08-30,425676.0379,7804.0,15081.0,,
2011-08-31,469359.7822,7292.0,14533.0,,
2011-09-01,505956.2404,7203.0,14081.0,,
2011-09-02,470740.5019,7026.0,13795.0,,
2011-09-03,352914.8355,5925.0,12341.0,,
2011-09-04,642336.4844,7258.0,15131.0,,
2011-09-05,707242.1789,7039.0,15423.0,,
2011-09-06,672957.4324,7830.0,15718.0,,
2011-09-07,1116161.531,7090.0,14155.0,,
2011-09-08,487106.6891,6497.0,13070.0,,
2011-09-09,1025995.853,7376.0,14345.0,,
2011-09-10,413447.3253,5993.0,12320.0,,
2011-09-11,4982653.952,6443.0,12860.0,,
2011-09-12,659128.7353,6575.0,13591.0,,
2011-09-13,403275.6123,6519.0,12622.0,,
2011-09-14,461287.9898,6200.0,12408.0,,
2011-09-15,470180.6254,6474.0,12988.0,,
2011-09-16,461448.4411,6209.0,12059.0,,
2011-09-17,353473.7026,5454.0,10988.0,,
2011-09-18,293308.9517,5986.0,12230.0,,
2011-09-19,367941.9641,6653.0,13227.0,,
2011-09-20,509530.0936,8145.0,18674.0,,
2011-09-21,766488.4654,7684.0,13718.0,,
2011-09-22,460343.1881,6139.0,15221.0,,
2011-09-23,406182.4514,6328.0,17920.0,,
2011-09-24,337880.2182,5728.0,,,
2011-09-25,320702.559,5722.0,17371.0,,
2011-09-26,338462.8917,5639.0,15796.0,,
2011-09-27,463530.2284,6101.0,16396.0,,
2011-09-28,310309.4581,6017.0,11834.0,,
2011-09-29,257251.4758,5589.0,10937.0,,
2011-09-30,302636.7572,5865.0,11283.0,,
2011-10-01,405346.6193,5374.0,10633.0,,
2011-10-02,267766.3124,5035.0,9967.0,,
2011-10-03,305170.1278,6521.0,11909.0,,
2011-10-04,396881.1278,5809.0,11300.0,,
2011-10-05,441657.6505,5771.0,11675.0,,
2011-10-06,719178.177,5912.0,11840.0,,
2011-10-07,705027.9088,5674.0,11509.0,,
2011-10-08,323812.4059,5402.0,10489.0,,
2011-10-09,321624.9504,5457.0,10536.0,,
2011-10-10,280818.4596,5882.0,11354.0,,
2011-10-11,365462.5316,5930.0,11528.0,,
2011-10-12,289729.9167,5949.0,11384.0,,
2011-10-13,311694.6577,4984.0,9707.0,,
2011-10-14,387212.0441,6111.0,11513.0,,
2011-10-15,289287.524,5579.0,10932.0,,
2011-10-16,262120.0159,4981.0,9703.0,,
2011-10-17,546249.9163,5781.0,11314.0,,
2011-10-18,316508.2331,4863.0,9916.0,,
2011-10-19,326955.9652,5130.0,10071.0,,
2011-10-20,252299.3265,4649.0,9169.0,,
2011-10-21,245130.1002,5206.0,10025.0,,
2011-10-22,293124.9434,5114.0,9824.0,,
2011-10-23,346280.2874,5608.0,10766.0,,
2011-10-24,408246.3652,5934.0,11426.0,,
2011-10-25,293120.4551,5226.0,10847.0,,
2011-10-26,364225.9406,5272.0,10186.0,,
2011-10-27,220161.5029,4677.0,9205.0,,
2011-10-28,409362.1982,5118.0,9929.0,,
2011-10-29,675046.8325,5698.0,10704.0,,
2011-10-30,218674.8134,4878.0,9209.0,,
2011-10-31,422184.316,5182.0,9983.0,,
2011-11-01,364502.8957,5777.0,10579.0,,
2011-11-02,453098.2177,5991.0,10787.0,,
2011-11-03,382635.9552,6253.0,10696.0,,
2011-11-04,463387.0314,6540.0,12456.0,,
2011-11-05,314611.3803,5928.0,11062.0,,
2011-11-06,216624.7594,5034.0,9719.0,,
2011-11-07,227183.7872,5496.0,10242.0,,
2011-11-08,508129.1123,5994.0,11275.0,,
2011-11-09,906998.1938,6448.0,11835.0,,
2011-11-10,443976.6765,6541.0,11906.0,,
2011-11-11,366520.2347,4733.0,9129.0,,
2011-11-12,393280.5697,5487.0,10466.0,,
2011-11-13,212630.2611,5374.0,10130.0,,
2011-11-14,516031.4517,5908.0,10912.0,,
2011-11-15,466487.8043,6106.0,11428.0,,
2011-11-16,3958489.684,6048.0,10803.0,,
2011-11-17,8011693.718,4959.0,9659.0,,
2011-11-18,6103507.281,5169.0,10146.0,,
2011-11-19,6700983.978,4724.0,8109.0,,
2011-11-20,383029.8802,5125.0,8506.0,,
2011-11-21,11550958.99,4770.0,8063.0,,
2011-11-22,11955911.23,5491.0,9044.0,,
2011-11-23,2756718.673,5598.0,8817.0,,
2011-11-24,439839.0485,5018.0,8288.0,,
2011-11-25,469794.9294,5486.0,9369.0,,
2011-11-26,439308.7763,4752.0,7999.0,,
2011-11-27,2759258.775,5061.0,8501.0,,
2011-11-28,6713573.61,5930.0,9949.0,,
2011-11-29,7939371.761,6431.0,11231.0,,
2011-11-30,22301188.74,6840.0,10954.0,,
2011-12-01,5014326.417,6352.0,11078.0,,
2011-12-02,14698307.98,6318.0,10573.0,,
2011-12-03,11571331.95,5631.0,9455.0,,
2011-12-04,8629726.222,5385.0,9284.0,,
2011-12-05,8409840.661,6237.0,10376.0,,
2011-12-06,17280806.39,7978.0,12283.0,,
2011-12-07,17625150.61,6135.0,9967.0,,
2011-12-08,10515805.48,5820.0,9560.0,,
2011-12-09,2782000.203,5588.0,9378.0,,
2011-12-10,974759.0848,5678.0,9451.0,,
2011-12-11,943117.4975,5261.0,8796.0,,
2011-12-12,1086086.304,4862.0,8547.0,,
2011-12-13,480389.9266,5406.0,9606.0,,
2011-12-14,476067.1648,5692.0,9481.0,,
2011-12-15,494798.5403,4850.0,7800.0,,
2011-12-16,584591.5635,5334.0,8457.0,,
2011-12-17,469359.9841,4823.0,7831.0,,
2011-12-18,260578.1743,4632.0,8017.0,,
2011-12-19,582248.4199,5844.0,9898.0,,
2011-12-20,897518.7716,6295.0,10326.0,,
2011-12-21,808890.9427,5577.0,9152.0,,
2011-12-22,596466.5099,5859.0,9649.0,,
2011-12-23,448283.7965,5682.0,9532.0,,
2011-12-24,338998.8124,4658.0,7872.0,,
2011-12-25,337841.0679,5286.0,9007.0,,
2011-12-26,497723.1523,5641.0,9349.0,,
2011-12-27,403104.1737,5211.0,8865.0,,
2011-12-28,454371.0168,5000.0,8370.0,,
2011-12-29,572718.5655,5212.0,8976.0,,
2011-12-30,507273.02,5051.0,8259.0,,
2011-12-31,384181.5997,5137.0,8198.0,,
2012-01-01,1016109.603,5001.0,8531.0,,
2012-01-02,750882.9546,5410.0,8928.0,,
2012-01-03,603798.2429,5773.0,9528.0,,
2012-01-04,749546.2402,5731.0,9542.0,,
2012-01-05,1614569.131,6994.0,11636.0,,
2012-01-06,1155595.19,6644.0,11057.0,,
2012-01-07,733406.2273,5905.0,9897.0,,
2012-01-08,793834.3438,6404.0,10661.0,,
2012-01-09,1352314.312,6112.0,10270.0,,
2012-01-10,873346.2991,6677.0,11358.0,,
2012-01-11,862381.0793,7139.0,11775.0,,
2012-01-12,930071.6685,6696.0,10691.0,,
2012-01-13,1229394.479,6847.0,11166.0,,
2012-01-14,931220.051,6807.0,11493.0,,
2012-01-15,611980.1579,6312.0,10178.0,,
2012-01-16,1155826.011,6965.0,11532.0,,
